Project Title,GAA Page,Amount
tT ELT ANHcrriirtinn OFTrt OacraAl koa 6FCUSNOoOre eFrorernon Aon Ra©ranfayv 7/nOne til KFinamalavan ht es i,,
tT AP TG... ffl. Ql a a | Sl VY Ve,,
eee OS ee,,
ha sil onstniiction of (nacstal Koa. (Rolo Sertion). Saranvtay CLotmo. SipocoT Camannes sur $f. 14/7 S75 ODO Tf,,
I fanetniction af Caacal Poand (Cainnaonn Gectinn) Rarnnay Gan Virente Sinacnat | ee |,,
tT Oe a | Pe eat at pI OT,,
ha tif aAnectniirtion Of Hactal KoA AaraAano Ay Sarre ontes CC anicah (€ amnannesc Swir. 1 JA4Q QOS pit) |,,
t h4a til anctniicrtinn Of € Hactal Kosa) OMarantav (C Aatmno Snoecoat € ananne Surf Ssonmant Al 1 J'4eée FFF El} Eo,,
"st. PR""? SS £E Ligue t Lig git eet Let © FLECTER Sd & F Rem ee eshOCOUR LE eSL GlhU DUE PLE ULOEEUlUCUYUCOC ELSE aa [CUCL UE t [Ss = ""y - )} FEEEELS FF",,
yearn e4aGIC anetriiction Of C nmece Art and Fariiies6 YarkAne | Fiero Ponrceca C itv PAla~awan 1 ART PD) Phd) oT,,
"I fanetruction of Fact Coactal Road Barangay RBacono Silano Section. Puerto Princeca City, ce",,
tT —? TEI. » _ | Sl VY Ve,,
Se eee,,
Tt — if anetriiction Of Finn f ontra! Mingaion Stoittiire at SAtnoon € reek Prasace Y/Y O6f Annan lhlUdfW es,,
ee Tie ew Al Ala a | (fee vee,,
_ KKK,,
tt Lee Li eR Pe OU UP PE PR Oe PR OTTER ae a PF |lCUUSEEE EL Ee eS LER EEE ee UDP CULL Se CLD. CULO EE IES E.hUhUhUmUmtC~*dYSC es oe,,
tT APwvi = lg lll Cl | hat PU Ie,,
beeen Eee,,
tT mONneariirctinn OF Finn KiToarinn Fro~wmr ir KPO ace /) in Baranfayv Facsfnanrn /amMmnpoaninan lf tT,,
Ici _ - _ A,,
